f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,kategori
-0.15405793,-0.10074504,0.56213534,0.24016815,0.25458235,-0.80687225,0.09480608,-0.686801,-0.20307356,-0.5355593,-0.77510077,-0.027624436,-0.032424487,-0.7939862,-0.056529254,0.8000485,-0.37097737,-0.00057038834,-0.059790432,0.16961281,0.080035895,0.60128343,-0.048729192,-0.17083718,0.50448257,-0.11711847,0.7693157,0.40383986,0.14630762,0.10924553,-0.65504503,0.16582073,0.17302206,0.17981446,-1.2932589,-0.10242641,0.52866334,-0.32017878,0.757202,0.06068852,-0.40065143,-0.3692705,0.54181707,0.34014824,-0.09349305,0.15807118,0.4877122,0.15493874,-0.19499958,-0.023149278,0.29463354,0.60843396,-0.31846362,-0.18083416,0.4160851,-0.49266648,Nasional
-0.09394706,-0.005698962,0.59285206,0.087225825,0.19480367,-0.8076579,0.02417472,-0.57592255,-0.11037846,-0.51699406,-0.70006377,-0.1639981,-0.044072617,-0.6895695,-0.049367804,0.7670764,-0.38616723,-0.18993105,-0.17385569,0.18915743,-0.12653801,0.3996688,-0.009451532,-0.17249176,0.39924008,-0.1578357,0.8400121,0.012938423,0.20828815,-0.036211137,-0.5363899,0.15567352,0.04118114,0.16844988,-1.11291,-0.19406751,0.41086984,-0.06751163,0.68960804,0.09665593,-0.33690828,-0.2312121,0.37278616,0.22156289,-0.12916331,0.12004908,0.51540804,0.072043635,-0.26335,-0.10209313,0.2978137,0.7793245,-0.24202007,-0.36125228,0.46878067,-0.32787254,Nasional
-0.10587075,-0.0714085,0.631011,0.06047341,0.1689844,-0.79868996,-0.012299799,-0.6061459,-0.1576136,-0.56083834,-0.70823616,-0.24107692,-0.031715617,-0.6527617,-0.09602619,0.8212644,-0.44820493,-0.3097946,-0.19798367,0.17355242,-0.21207759,0.400103,-0.02628929,-0.20855974,0.36921793,-0.11057143,0.84418714,-0.15267503,0.16099767,-0.16408376,-0.6317482,0.13216117,-0.019886969,0.092835516,-1.1374007,-0.25365418,0.51451397,0.07404721,0.76243895,0.10555337,-0.35293996,-0.23362708,0.28855693,0.24239083,-0.23458588,0.13057223,0.4196899,0.05613139,-0.35807246,-0.05478126,0.3037548,0.91178405,-0.091215126,-0.44395584,0.5403143,-0.32386184,Tekno
-0.06561867,0.0023310739,0.61545306,0.06280286,0.18105786,-0.96853685,0.15116282,-0.62745386,-0.04331022,-0.39506736,-0.6905565,-0.1546992,-0.07963925,-0.7955209,0.055760544,0.8462668,-0.36282367,-0.122114286,-0.28286496,0.24774338,-0.06554303,0.45872682,0.04352382,-0.148181,0.6094359,-0.15777606,0.9652265,0.23094276,0.36179873,-0.04428268,-0.6294914,0.09915513,0.18931796,0.21350992,-1.3211726,-0.17860806,0.4630069,-0.1731576,0.7499651,-0.09156405,-0.348143,-0.22735074,0.4200782,0.25626478,-0.16698168,0.19427179,0.5946265,0.040093288,-0.27289373,-0.13462743,0.37016875,0.74471825,-0.48581746,-0.3785898,0.47558025,-0.36136356,Global
-0.14022738,-0.09228883,0.6156103,0.16972066,0.25467047,-0.87032294,0.039367873,-0.6656856,-0.18016063,-0.5197107,-0.6194434,-0.1738401,-0.008319777,-0.8019132,-0.037630256,0.80468875,-0.3856999,-0.050761156,-0.068564124,0.20681849,-0.03344344,0.52932537,0.05249831,-0.19486749,0.5972544,-0.09512703,0.86437136,0.35094878,0.2759185,-0.02043089,-0.72256255,0.12625326,0.16324279,0.24210872,-1.2377586,-0.17759112,0.5221304,-0.21955456,0.76581055,-0.024617467,-0.41146708,-0.31270158,0.4555362,0.31070843,-0.124476805,0.19173166,0.5023889,0.15879482,-0.26619163,0.050922543,0.2427102,0.64275724,-0.3733782,-0.28293815,0.5623278,-0.4922404,Megapolitan
-0.04571151,-0.0037488132,0.5826545,0.04686182,0.17373732,-0.95126224,0.14642224,-0.54399115,-0.01105908,-0.35412845,-0.6704996,-0.16282882,-0.075357795,-0.75002456,0.072288916,0.79988843,-0.35702655,-0.16254693,-0.3019938,0.25250235,-0.06961358,0.44056603,0.022399958,-0.10267404,0.5746005,-0.12006799,0.906555,0.19665724,0.3566341,-0.05395495,-0.5948726,0.06977155,0.13750504,0.19085407,-1.2199699,-0.17550677,0.43344975,-0.163358,0.7009622,-0.1061129,-0.33693916,-0.22277246,0.38670838,0.2317877,-0.21399462,0.19715172,0.5540005,0.048868317,-0.2990107,-0.1588177,0.3520179,0.71131897,-0.4669273,-0.37904105,0.43563098,-0.30161223,Regional
-0.118478775,-0.12865488,0.65919214,0.08052382,0.17006424,-0.80365264,-0.010422834,-0.6439221,-0.19573344,-0.5916487,-0.7700928,-0.25831884,-0.011969719,-0.6409217,-0.10926168,0.90843415,-0.488092,-0.36511886,-0.21919706,0.16984826,-0.22735105,0.44153163,-0.050657433,-0.21339068,0.3846684,-0.104162246,0.86455226,-0.18451637,0.128918,-0.2163983,-0.70723313,0.11607867,-0.055620857,0.0452891,-1.2084115,-0.28072816,0.59038055,0.110938534,0.84109694,0.09831405,-0.37990543,-0.26239794,0.2858258,0.2773103,-0.30051532,0.15983656,0.39088988,0.085937634,-0.4236686,-0.051533822,0.33001578,0.98834574,-0.0007938555,-0.47231722,0.5671152,-0.3047954,Tekno
-0.11623185,-0.117628425,0.5663553,0.19984907,0.22140913,-0.9043098,0.13147734,-0.6660775,-0.17961922,-0.498663,-0.8914289,-0.021258634,-0.036875233,-0.80234665,0.001809788,0.8831739,-0.39786562,-0.071335845,-0.16113311,0.238092,0.09596077,0.6793452,-0.05913514,-0.08209981,0.54380804,-0.09884686,0.79091907,0.4202572,0.16723739,0.048511956,-0.6964557,0.11276702,0.15315478,0.15997656,-1.3423605,-0.11506754,0.5815574,-0.32757854,0.7661455,-0.015668614,-0.41755426,-0.37485927,0.5035503,0.3491118,-0.21311784,0.22454002,0.5003256,0.19852744,-0.31023368,-0.10991346,0.3238717,0.670078,-0.3191282,-0.22347566,0.4017723,-0.3971606,Regional
-0.17548926,-0.0988214,0.576709,0.35548022,0.115630634,-1.12537,0.17252459,-0.6243408,-0.20268907,-0.42137882,-1.014351,0.07223126,-0.11692577,-1.0407563,0.1726947,0.8750548,-0.49927738,0.061832875,-0.24928083,0.4071361,0.22844799,0.91890556,0.009928119,0.04333012,0.69607323,0.1645577,0.7231505,0.70227045,0.20535918,-0.011068567,-0.8487198,0.076439805,0.15114878,0.32869306,-1.4134693,-0.17730178,0.56064874,-0.5508908,0.80346364,-0.06986184,-0.45488873,-0.39990953,0.5484191,0.37881172,-0.40459982,0.32088086,0.48912737,0.23746495,-0.42987764,-0.22541966,0.4042038,0.70456386,-0.54472035,-0.16677763,0.33095434,-0.5256239,Regional
-0.19279481,-0.16219497,0.6474885,0.29307726,0.29321542,-0.9472329,0.039484516,-0.8301833,-0.33400354,-0.67353743,-1.1257329,-0.011659623,-0.016671306,-0.88705975,-0.057250228,1.0615109,-0.47239238,-0.077592105,-0.107282326,0.22569944,0.11641242,0.8092962,-0.10787407,-0.15975082,0.52468467,-0.18934569,0.84316534,0.42680997,0.07903066,0.06232597,-0.8059673,0.22204143,0.124163285,0.13810478,-1.4863907,-0.1727573,0.6729818,-0.35300925,0.87139136,0.10664762,-0.5017694,-0.46889004,0.5879424,0.44275224,-0.18260524,0.26949123,0.56869936,0.32409897,-0.36807773,-0.09304625,0.30586916,0.7881991,-0.14628866,-0.23356023,0.48530504,-0.42825702,Money
